pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783822139917427,1,2,0,0,0,0,0,36,0,0,250,7
1783822140045170,1,3,1,0,0,0,0,0,0,0,0,7
1783822140174531,1,4,2,0,0,0,0,55,52,0,250,7
1783822140302913,1,5,3,0,0,0,0,0,0,0,0,7
1783822140430274,1,6,4,0,0,0,0,36,0,0,250,8
1783822140558180,1,7,5,0,0,0,0,0,0,0,0,7
1783822140688081,1,8,6,0,0,0,0,55,52,0,250,8
1783822140814796,1,9,7,0,0,0,0,0,0,0,0,7
1783822140943304,1,10,8,0,0,0,0,36,0,0,250,7
1783822141072184,1,11,9,0,0,0,0,0,0,0,0,7
1783822141200869,1,12,10,67,64,0,250,55,52,0,250,7
1783822141328542,1,13,11,0,0,0,0,0,0,0,0,7
1783822141457357,1,14,12,69,64,0,250,36,0,0,250,7
1783822141584967,1,15,13,0,0,0,0,0,0,0,0,7
1783822141713933,1,16,14,71,64,0,250,55,52,0,250,7
1783822141841109,1,17,15,0,0,0,0,0,0,0,0,7
1783822141970520,1,18,16,72,67,0,500,48,0,0,250,7
1783822142097861,1,19,17,0,0,0,0,0,0,0,0,7
1783822142226044,1,20,18,0,0,0,0,60,55,0,250,7
1783822142353557,1,21,19,0,0,0,0,0,0,0,0,8
1783822142483004,1,22,20,67,0,0,500,48,0,0,250,8
1783822142610507,1,23,21,0,0,0,0,0,0,0,0,7
1783822142739150,1,24,22,0,0,0,0,60,55,0,250,7
1783822142866660,1,25,23,0,0,0,0,0,0,0,0,7
1783822142995593,1,26,24,64,60,0,500,43,0,0,250,8
1783822143123035,1,27,25,0,0,0,0,0,0,0,0,7
1783822143253164,1,28,26,0,0,0,0,55,52,0,250,7
1783822143380112,1,29,27,0,0,0,0,0,0,0,0,6
1783822143508478,1,30,28,60,0,0,500,43,0,0,250,7
1783822143636481,1,31,29,0,0,0,0,0,0,0,0,7
1783822143764433,1,32,30,0,0,0,0,55,52,0,250,7
1783822143893336,1,33,31,0,0,0,0,0,0,0,0,8
1783822144021626,1,34,32,69,65,0,1000,41,0,0,250,7
1783822144149044,1,35,33,0,0,0,0,0,0,0,0,7
1783822144277855,1,36,34,0,0,0,0,53,48,0,250,7
1783822144405253,1,37,35,0,0,0,0,0,0,0,0,7
1783822144534148,1,38,36,0,0,0,0,41,0,0,250,7
1783822144662278,1,39,37,0,0,0,0,0,0,0,0,7
1783822144791293,1,40,38,0,0,0,0,53,48,0,250,7
1783822144920798,1,41,39,0,0,0,0,0,0,0,0,7
1783822145046926,1,42,40,0,0,0,0,48,0,0,250,7
1783822145175715,1,43,41,0,0,0,0,0,0,0,0,7
1783822145305469,1,44,42,69,65,0,250,57,53,0,250,7
1783822145432214,1,45,43,0,0,0,0,0,0,0,0,8
1783822145560623,1,46,44,71,65,0,250,48,0,0,250,7
1783822145688054,1,47,45,0,0,0,0,0,0,0,0,7
1783822145817921,1,48,46,69,65,0,250,57,53,0,250,8
1783822145945301,1,49,47,0,0,0,0,0,0,0,0,8
1783822146073803,1,50,48,67,65,0,500,47,0,0,250,7
1783822146201318,1,51,49,0,0,0,0,0,0,0,0,7
1783822146329999,1,52,50,0,0,0,0,57,55,0,250,6
1783822146457709,1,53,51,0,0,0,0,0,0,0,0,8
1783822146587633,1,54,52,67,66,0,500,47,0,0,250,7
1783822146714338,1,55,53,0,0,0,0,0,0,0,0,7
1783822146842344,1,56,54,0,0,0,0,57,55,0,250,7
1783822146970498,1,57,55,0,0,0,0,0,0,0,0,7
1783822147099148,1,58,56,69,62,0,500,43,0,0,250,8
1783822147227140,1,59,57,0,0,0,0,0,0,0,0,7
1783822147356111,1,60,58,0,0,0,0,53,47,0,250,7
1783822147484095,1,61,59,0,0,0,0,0,0,0,0,7
1783822147612693,1,62,60,71,62,0,500,43,0,0,250,7
1783822147740653,1,63,61,0,0,0,0,0,0,0,0,7
1783822147868667,1,64,62,0,0,0,0,53,47,0,250,7
1783822147996724,1,65,63,0,0,0,0,0,0,0,0,7
1783822148126401,1,66,64,72,67,0,1000,48,0,0,250,8
1783822148253247,1,67,65,0,0,0,0,0,0,0,0,7
1783822148382039,1,68,66,0,0,0,0,55,0,0,125,7
1783822148509749,1,69,67,0,0,0,0,57,0,0,250,8
1783822148638028,1,70,68,0,0,0,0,0,0,0,0,7
1783822148767061,1,71,69,0,0,0,0,55,0,0,125,7
1783822148894310,1,72,70,0,0,0,0,52,0,0,250,7
1783822149023137,1,73,71,0,0,0,0,0,0,0,0,7
1783822149151258,1,74,72,0,0,0,0,48,0,0,250,7
1783822149279228,1,75,73,0,0,0,0,0,0,0,0,7
1783822149407548,1,76,74,67,0,0,250,0,0,0,0,7
1783822149535133,1,77,75,0,0,0,0,0,0,0,0,7
1783822149663751,1,78,76,66,0,0,250,0,0,0,0,7
1783822149791900,1,79,77,0,0,0,0,0,0,0,0,7
1783822149920593,1,80,78,67,0,0,250,0,0,0,0,7
1783822150048057,1,81,79,0,0,0,0,0,0,0,0,7
1783822150177122,1,82,80,64,0,0,500,36,0,0,250,7
1783822150305252,1,83,81,0,0,0,0,0,0,0,0,7
1783822150434129,1,84,82,0,0,0,0,55,52,0,250,7
1783822150561811,1,85,83,0,0,0,0,0,0,0,0,7
1783822150689909,1,86,84,0,0,0,0,36,0,0,250,7
1783822150817372,1,87,85,0,0,0,0,0,0,0,0,7
1783822150946406,1,88,86,0,0,0,0,55,52,0,250,7
1783822151074921,1,89,87,0,0,0,0,0,0,0,0,7
1783822151202762,1,90,88,0,0,0,0,36,0,0,250,7
1783822151330675,1,91,89,0,0,0,0,0,0,0,0,7
1783822151459370,1,92,90,64,0,0,250,55,52,0,250,7
1783822151586929,1,93,91,0,0,0,0,0,0,0,0,7
1783822151716303,1,94,92,63,0,0,250,36,0,0,250,7
1783822151843527,1,95,93,0,0,0,0,0,0,0,0,7
1783822151972002,1,96,94,64,0,0,250,55,52,0,250,8
1783822152100147,1,97,95,0,0,0,0,0,0,0,0,7
1783822152228403,1,98,96,60,0,0,500,48,0,0,250,7
1783822152356394,1,99,97,0,0,0,0,0,0,0,0,7
1783822152484764,1,100,98,0,0,0,0,60,55,0,250,7
1783822152613735,1,101,99,0,0,0,0,0,0,0,0,7
1783822152741573,1,102,100,0,0,0,0,48,0,0,250,7
1783822152870078,1,103,101,0,0,0,0,0,0,0,0,7
1783822152998081,1,104,102,0,0,0,0,60,55,0,250,7
1783822153125843,1,105,103,0,0,0,0,0,0,0,0,6
1783822153254363,1,106,104,0,0,0,0,48,0,0,250,7
1783822153382094,1,107,105,0,0,0,0,0,0,0,0,8
1783822153511416,1,108,106,64,0,0,250,60,55,0,250,7
1783822153638839,1,109,107,0,0,0,0,0,0,0,0,7
1783822153768775,1,110,108,62,0,0,250,48,0,0,250,7
1783822153895415,1,111,109,0,0,0,0,0,0,0,0,8
1783822154024779,1,112,110,60,0,0,250,60,55,0,250,7
1783822154151464,1,113,111,0,0,0,0,0,0,0,0,7
1783822154281742,1,114,112,62,0,0,500,43,0,0,250,7
1783822154408656,1,115,113,0,0,0,0,0,0,0,0,7
1783822154537782,1,116,114,0,0,0,0,53,50,0,250,7
