pc_recv_time_us,inst_id,tick_id,score_index,to1,to2,to3,dur_to,he1,he2,he3,dur_he,pickup_us
1783821856087564,1,2,0,0,0,0,0,36,0,0,250,7
1783821856215912,1,3,1,0,0,0,0,0,0,0,0,7
1783821856344384,1,4,2,0,0,0,0,55,52,0,250,7
1783821856473163,1,5,3,0,0,0,0,0,0,0,0,7
1783821856600523,1,6,4,0,0,0,0,36,0,0,250,8
1783821856729348,1,7,5,0,0,0,0,0,0,0,0,6
1783821856858043,1,8,6,0,0,0,0,55,52,0,250,7
1783821856986683,1,9,7,0,0,0,0,0,0,0,0,7
1783821857114531,1,10,8,0,0,0,0,36,0,0,250,7
1783821857241634,1,11,9,0,0,0,0,0,0,0,0,7
1783821857370972,1,12,10,67,64,0,250,55,52,0,250,7
1783821857498978,1,13,11,0,0,0,0,0,0,0,0,7
1783821857627346,1,14,12,69,64,0,250,36,0,0,250,7
1783821857757511,1,15,13,0,0,0,0,0,0,0,0,7
1783821857884422,1,16,14,71,64,0,250,55,52,0,250,7
1783821858011859,1,17,15,0,0,0,0,0,0,0,0,7
1783821858140182,1,18,16,72,67,0,500,48,0,0,250,7
1783821858269225,1,19,17,0,0,0,0,0,0,0,0,10
1783821858397685,1,20,18,0,0,0,0,60,55,0,250,9
1783821858524474,1,21,19,0,0,0,0,0,0,0,0,7
1783821858653688,1,22,20,67,0,0,500,48,0,0,250,7
1783821858780887,1,23,21,0,0,0,0,0,0,0,0,8
1783821858909725,1,24,22,0,0,0,0,60,55,0,250,7
1783821859038337,1,25,23,0,0,0,0,0,0,0,0,7
1783821859167151,1,26,24,64,60,0,500,43,0,0,250,7
1783821859294417,1,27,25,0,0,0,0,0,0,0,0,7
1783821859423155,1,28,26,0,0,0,0,55,52,0,250,7
1783821859551277,1,29,27,0,0,0,0,0,0,0,0,7
1783821859679746,1,30,28,60,0,0,500,43,0,0,250,8
1783821859807327,1,31,29,0,0,0,0,0,0,0,0,7
1783821859936779,1,32,30,0,0,0,0,55,52,0,250,7
1783821860063272,1,33,31,0,0,0,0,0,0,0,0,6
1783821860192311,1,34,32,69,65,0,1000,41,0,0,250,7
1783821860318955,1,35,33,0,0,0,0,0,0,0,0,7
1783821860448300,1,36,34,0,0,0,0,53,48,0,250,7
1783821860577038,1,37,35,0,0,0,0,0,0,0,0,7
1783821860706564,1,38,36,0,0,0,0,41,0,0,250,7
1783821860833811,1,39,37,0,0,0,0,0,0,0,0,7
1783821860961841,1,40,38,0,0,0,0,53,48,0,250,7
1783821861089680,1,41,39,0,0,0,0,0,0,0,0,7
1783821861219139,1,42,40,0,0,0,0,48,0,0,250,7
1783821861345843,1,43,41,0,0,0,0,0,0,0,0,7
1783821861475001,1,44,42,69,65,0,250,57,53,0,250,7
1783821861602581,1,45,43,0,0,0,0,0,0,0,0,7
1783821861731664,1,46,44,71,65,0,250,48,0,0,250,6
1783821861858940,1,47,45,0,0,0,0,0,0,0,0,7
1783821861988711,1,48,46,69,65,0,250,57,53,0,250,7
1783821862115911,1,49,47,0,0,0,0,0,0,0,0,7
1783821862244709,1,50,48,67,65,0,500,47,0,0,250,8
1783821862371292,1,51,49,0,0,0,0,0,0,0,0,7
1783821862500947,1,52,50,0,0,0,0,57,55,0,250,7
1783821862629142,1,53,51,0,0,0,0,0,0,0,0,7
1783821862757297,1,54,52,67,66,0,500,47,0,0,250,7
1783821862885980,1,55,53,0,0,0,0,0,0,0,0,7
1783821863012877,1,56,54,0,0,0,0,57,55,0,250,7
1783821863140679,1,57,55,0,0,0,0,0,0,0,0,7
1783821863270358,1,58,56,69,62,0,500,43,0,0,250,8
1783821863397971,1,59,57,0,0,0,0,0,0,0,0,7
1783821863527288,1,60,58,0,0,0,0,53,47,0,250,7
1783821863655537,1,61,59,0,0,0,0,0,0,0,0,7
1783821863784412,1,62,60,71,62,0,500,43,0,0,250,7
1783821863910319,1,63,61,0,0,0,0,0,0,0,0,7
1783821864039789,1,64,62,0,0,0,0,53,47,0,250,7
1783821864167823,1,65,63,0,0,0,0,0,0,0,0,8
1783821864296799,1,66,64,72,67,0,1000,48,0,0,250,7
1783821864423491,1,67,65,0,0,0,0,0,0,0,0,7
1783821864553180,1,68,66,0,0,0,0,55,0,0,125,7
1783821864681119,1,69,67,0,0,0,0,57,0,0,250,7
1783821864808832,1,70,68,0,0,0,0,0,0,0,0,6
1783821864936872,1,71,69,0,0,0,0,55,0,0,125,7
1783821865064734,1,72,70,0,0,0,0,52,0,0,250,7
1783821865193359,1,73,71,0,0,0,0,0,0,0,0,7
1783821865321522,1,74,72,0,0,0,0,48,0,0,250,7
1783821865450434,1,75,73,0,0,0,0,0,0,0,0,7
1783821865578135,1,76,74,67,0,0,250,0,0,0,0,7
1783821865706760,1,77,75,0,0,0,0,0,0,0,0,7
1783821865835853,1,78,76,66,0,0,250,0,0,0,0,6
